City Code;City Name;Registered Voters;Issued Ballots;Valid Votes;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
540081;Čím;245;162;161;1;10;6,21;2;0;0,00;3;0;0,00;4;9;5,59;6;0;0,00;7;21;13,04;8;4;2,48;9;1;0,62;10;2;1,24;12;1;0,62;13;3;1,86;14;0;0,00;15;31;19,25;17;0;0,00;19;0;0,00;20;8;4,96;21;58;36,02;22;0;0,00;23;0;0,00;24;1;0,62;25;0;0,00;26;0;0,00;27;1;0,62;28;0;0,00;29;10;6,21;30;1;0,62
540099;Daleké Dušníky;344;231;230;1;30;13,04;2;0;0,00;3;0;0,00;4;20;8,69;6;0;0,00;7;19;8,26;8;21;9,13;9;7;3,04;10;3;1,30;12;1;0,43;13;0;0,00;14;1;0,43;15;43;18,69;17;0;0,00;19;0;0,00;20;6;2,60;21;54;23,47;22;0;0,00;23;1;0,43;24;5;2,17;25;0;0,00;26;3;1,30;27;0;0,00;28;1;0,43;29;15;6,52;30;0;0,00
513504;Dlouhá Lhota;308;205;205;1;30;14,63;2;1;0,48;3;0;0,00;4;18;8,78;6;1;0,48;7;9;4,39;8;6;2,92;9;0;0,00;10;4;1,95;12;5;2,43;13;0;0,00;14;0;0,00;15;24;11,70;17;0;0,00;19;0;0,00;20;8;3,90;21;63;30,73;22;0;0,00;23;1;0,48;24;13;6,34;25;0;0,00;26;2;0,97;27;0;0,00;28;1;0,48;29;19;9,26;30;0;0,00
540111;Dobříš;6994;4559;4518;1;663;14,67;2;9;0,19;3;1;0,02;4;325;7,19;6;3;0,06;7;232;5,13;8;280;6,19;9;83;1,83;10;31;0,68;12;83;1,83;13;6;0,13;14;4;0,08;15;687;15,20;17;0;0,00;19;3;0,06;20;305;6,75;21;1188;26,29;22;4;0,08;23;10;0,22;24;182;4,02;25;1;0,02;26;27;0,59;27;10;0,22;28;8;0,17;29;363;8,03;30;10;0,22
540129;Dolní Hbity;739;551;549;1;54;9,83;2;1;0,18;3;0;0,00;4;62;11,29;6;0;0,00;7;44;8,01;8;51;9,28;9;8;1,45;10;6;1,09;12;11;2,00;13;0;0,00;14;0;0,00;15;41;7,46;17;0;0,00;19;0;0,00;20;14;2,55;21;206;37,52;22;0;0,00;23;0;0,00;24;16;2,91;25;0;0,00;26;1;0,18;27;1;0,18;28;0;0,00;29;31;5,64;30;2;0,36
599298;Drahenice;132;88;88;1;3;3,40;2;0;0,00;3;0;0,00;4;11;12,50;6;1;1,13;7;6;6,81;8;18;20,45;9;2;2,27;10;2;2,27;12;0;0,00;13;0;0,00;14;0;0,00;15;15;17,04;17;0;0,00;19;0;0,00;20;3;3,40;21;17;19,31;22;0;0,00;23;1;1,13;24;0;0,00;25;0;0,00;26;0;0,00;27;0;0,00;28;1;1,13;29;8;9,09;30;0;0,00
540145;Drahlín;445;315;314;1;25;7,96;2;0;0,00;3;0;0,00;4;26;8,28;6;1;0,31;7;10;3,18;8;25;7,96;9;2;0,63;10;7;2,22;12;4;1,27;13;0;0,00;14;0;0,00;15;29;9,23;17;2;0,63;19;0;0,00;20;12;3,82;21;132;42,03;22;0;0,00;23;0;0,00;24;9;2,86;25;0;0,00;26;0;0,00;27;1;0,31;28;0;0,00;29;29;9,23;30;0;0,00
540153;Drásov;345;257;256;1;36;14,06;2;0;0,00;3;0;0,00;4;26;10,15;6;0;0,00;7;9;3,51;8;20;7,81;9;2;0,78;10;2;0,78;12;3;1,17;13;1;0,39;14;0;0,00;15;24;9,37;17;0;0,00;19;0;0,00;20;11;4,29;21;97;37,89;22;0;0,00;23;0;0,00;24;7;2,73;25;0;0,00;26;0;0,00;27;0;0,00;28;0;0,00;29;18;7,03;30;0;0,00
540170;Drevníky;266;161;160;1;21;13,12;2;0;0,00;3;0;0,00;4;18;11,25;6;0;0,00;7;12;7,50;8;8;5,00;9;2;1,25;10;0;0,00;12;2;1,25;13;0;0,00;14;0;0,00;15;21;13,12;17;0;0,00;19;0;0,00;20;12;7,50;21;39;24,37;22;0;0,00;23;0;0,00;24;9;5,62;25;0;0,00;26;1;0,62;27;0;0,00;28;1;0,62;29;14;8,75;30;0;0,00
540188;Drhovy;212;136;136;1;20;14,70;2;1;0,73;3;0;0,00;4;6;4,41;6;1;0,73;7;10;7,35;8;5;3,67;9;2;1,47;10;0;0,00;12;1;0,73;13;0;0,00;14;0;0,00;15;18;13,23;17;0;0,00;19;0;0,00;20;7;5,14;21;45;33,08;22;1;0,73;23;0;0,00;24;1;0,73;25;0;0,00;26;0;0,00;27;1;0,73;28;1;0,73;29;15;11,02;30;1;0,73
